Hostname,Scan_Type,Scan_Status,NIST_Security_Score,Error_Details,Alg_Name,Alg_Asset_Type,Alg_Primitive,Alg_Mode,Alg_Crypto_Functions,Alg_Classical_Security_Level,Alg_OID,Key_Name,Key_Asset_Type,Key_id,Key_state,Key_size,Key_Creation_Date,Key_Activation_Date,Protocol_Name,Protocol_Asset_Type,Protocol_Version,Protocol_Cipher_Suites,Protocol_OID,Cert_Name,Cert_Asset_Type,Cert_Subject_Name,Cert_Issuer_Name,Cert_Not_Valid_Before,Cert_Not_Valid_After,Cert_Signature_Algorithm_Reference,Cert_Subject_Public_Key_Reference,Cert_Format,Cert_Extension
google.com,PQC Probe,Success,A+ (Quantum-Resilient: Supports ML-KEM),,sha256WithRSAEncryption,algorithm,signature,gcm,"encryption, decryption, authentication",256 bits,1.2.840.113549.1.1.11,*.google.com ECC (secp256r1) Key,key,38522258200272908858461613142268749907,Active,256 bits,2026-02-23 18:19:44 UTC,2026-02-23 18:19:44 UTC,TLS,protocol,TLSv1.3,TLS_AES_256_GCM_SHA384,N/A,*.google.com,certificate,CN=*.google.com,"CN=WR2,O=Google Trust Services,C=US",2026-02-23 18:19:44 UTC,2026-05-18 18:19:43 UTC,sha256WithRSAEncryption,ECC (secp256r1) 256-bit,X.509,.crt
linkedin.com,Classical Fallback,Success,B (Classical Strong: TLS 1.3),,sha256WithRSAEncryption,algorithm,signature,gcm,"encryption, decryption, authentication",2048 bits,1.2.840.113549.1.1.11,www.linkedin.com RSA Key,key,1559537898236567879646872668323003442,Active,2048 bits,2026-03-19 00:00:00 UTC,2026-03-19 00:00:00 UTC,TLS,protocol,TLSv1.3,TLS_AES_256_GCM_SHA384,N/A,www.linkedin.com,certificate,"CN=www.linkedin.com,O=LinkedIn Corporation,L=Sunnyvale,ST=California,C=US","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-03-19 00:00:00 UTC,2026-09-19 23:59:59 UTC,sha256WithRSAEncryption,RSA 2048-bit,X.509,.crt
cloudflare.com,PQC Probe,Success,A+ (Quantum-Resilient: Supports ML-KEM),,ecdsa-with-SHA256,algorithm,signature,gcm,"encryption, decryption, authentication",256 bits,1.2.840.10045.4.3.2,cloudflare.com ECC (secp256r1) Key,key,119036353918424845219448785770794759351,Active,256 bits,2026-03-12 20:59:51 UTC,2026-03-12 20:59:51 UTC,TLS,protocol,TLSv1.3,TLS_AES_256_GCM_SHA384,N/A,cloudflare.com,certificate,CN=cloudflare.com,"CN=WE1,O=Google Trust Services,C=US",2026-03-12 20:59:51 UTC,2026-06-10 21:59:46 UTC,ecdsa-with-SHA256,ECC (secp256r1) 256-bit,X.509,.crt
